x;0;1;2;3;4;5
ID;timeLimit;Count;freqdes;freqasc;limitpdes;limitpasc
1;2;50;3;4;2.75;0
2;2;50;1;2;1.5;0.25
3;2;50;3;4;2.25;0
4;2;50;3;4;1;0.25
5;2;50;3;4;1.75;0
6;2;50;3;4;1.5;0.25
7;2;50;3;4;1.25;0
8;2;50;3;4;2.5;0.25
9;2;50;1;2;1.5;0
10;2;50;3;4;1.5;0
11;2;50;3;4;1.25;0.25
12;2;50;3;4;1;0
13;2;50;3;4;2;0
14;2;50;1;2;1;0.25
15;2;50;3;4;2;0.25
16;2;50;1;2;1.25;0
17;2;50;3;4;3.25;0
18;2;50;3;4;0.75;0.25
19;2;50;1;2;1;0
20;2;50;3;4;1;0.75
21;2;50;1;2;1.25;0.25
22;2;50;3;4;2.25;0.25
23;2;50;3;4;1.25;0.75
24;2;50;3;4;3.5;0
25;2;50;3;4;1;0.5
26;2;50;3;4;1.75;0.25
27;2;50;1;2;1.75;0
28;2;50;3;4;3;0.25
29;2;50;3;4;2.75;0.25
30;2;50;3;4;0.75;0
31;2;50;3;4;2.5;0
32;2;50;3;4;3.75;0.25
33;2;50;3;4;1.25;0.5
34;2;50;3;4;1.5;0.5
35;2;50;3;4;2.5;0.5
36;2;50;3;4;0.75;0.5
37;2;50;3;4;2.75;0.5
38;2;50;3;4;3;0.5
39;2;50;3;4;1.75;0.5
40;2;50;3;4;1.75;0.75
41;2;50;3;4;2;0.5
42;2;50;3;4;3.25;0.25
43;2;50;3;4;3;0
44;2;50;1;2;0.75;0.25
45;2;50;3;4;2.25;0.5
46;2;50;3;4;1.5;1
47;2;50;1;2;2;0.25
48;2;50;3;4;3.5;0.25
49;2;50;1;2;2;0
50;2;50;3;4;4.25;0.25
51;2;50;3;4;4.75;0.25
52;2;50;3;4;2.5;0.75
53;2;50;3;4;1.25;1.25
54;2;50;1;2;0.75;0
55;2;50;3;4;1.5;0.75
56;2;50;3;4;4;0.25
57;2;50;1;2;1;0.5
58;2;50;3;4;3.75;0
59;2;50;1;2;2.25;0.25
60;2;50;1;2;1.75;0.25
61;2;50;3;4;2.25;1
62;2;50;1;2;2.25;0
63;2;50;3;4;2;1
64;2;50;3;4;1;1
65;2;50;3;4;0.75;0.75
66;2;50;3;4;1.25;1
67;2;50;3;4;1.5;1.25
68;2;50;3;4;2.75;0.75
69;2;50;3;4;1.75;1
70;2;50;3;4;4.5;0.25
71;2;50;3;4;1;1.25
72;2;50;3;4;5;0.25
73;2;50;3;4;3.25;0.5
74;2;50;1;2;1.25;0.5
75;2;50;3;4;2.5;1
76;2;50;3;4;2;1.25
77;2;50;10;11;4.5;0
78;2;50;3;4;2.25;0.75
79;2;50;3;4;3.75;0.5
80;2;50;3;4;1.5;1.75
81;2;50;3;4;3.5;0.5
82;2;50;10;11;0.75;0
83;2;50;3;4;2;0.75
84;2;50;10;11;4;0
85;2;50;1;2;2.5;0
86;2;50;1;2;2.5;0.25
87;2;50;10;11;1.75;0
88;2;50;3;4;1;1.5
89;2;50;10;11;3;0
90;2;50;3;4;3.25;0.75
91;2;50;10;11;4.75;0
92;2;50;10;11;3.25;0
93;2;50;10;11;2;0.25
94;2;50;3;4;2.25;1.25
95;2;50;1;2;1.5;0.5
96;2;50;10;11;3.25;0.25
97;2;50;3;4;1.75;1.5
98;2;50;1;2;1.25;0.75
99;2;50;3;4;0.75;1
100;2;50;10;11;1.5;0
101;2;50;10;11;2.5;0
102;2;50;3;4;1.5;1.5
103;2;50;10;11;2.75;0.25
104;2;50;10;11;1;0
105;2;50;10;11;3.75;0
106;2;50;10;11;2;0
107;2;50;10;11;2.75;0
108;2;50;3;4;3.25;1
109;2;50;10;11;4.5;0.25
110;2;50;10;11;5;0
111;2;50;3;4;3.5;0.75
112;2;50;10;11;1.75;0.25
113;2;50;10;11;5;0.25
114;2;50;3;4;4;0.5
115;2;50;1;2;2.75;0.25
116;2;50;10;11;1.25;0
117;2;50;3;4;1.75;1.25
118;2;50;10;11;0.5;0
119;2;50;3;4;1.5;2
120;2;50;10;11;3.5;0
121;2;50;10;11;4;0.25
122;2;50;3;4;1.25;1.5
123;2;50;10;11;4.25;0
124;2;50;10;11;2.25;0
125;2;50;3;4;1.75;1.75
126;2;50;10;11;0.75;0.25
127;2;50;10;11;1.25;0.25
128;2;50;10;11;4.25;0.25
129;2;50;10;11;1.5;0.25
130;2;50;3;4;1.25;1.75
131;2;50;10;11;3;0.25
132;2;50;3;4;1.75;2
133;2;50;10;11;3.75;0.25
134;2;50;10;11;1;0.25
135;2;50;10;11;1.25;0.5
136;2;50;10;11;2.5;0.25
137;2;50;3;4;2.25;1.5
138;2;50;10;11;4.75;0.25
139;2;50;3;4;2;1.5
140;2;50;3;4;3.75;0.75
141;2;50;3;4;0.5;0
142;2;50;10;11;2.25;0.25
143;2;50;10;11;2.75;0.5
144;2;50;10;11;0.75;0.5
145;2;50;3;4;1;1.75
146;2;50;3;4;2.75;1
147;2;50;10;11;3.25;0.5
148;2;50;10;11;2;0.5
149;2;50;10;11;3;0.5
150;2;50;10;11;3.25;0.75
151;2;50;10;11;1.75;0.5
152;2;50;3;4;4.75;0.5
153;2;50;10;11;3.5;0.25
154;2;50;3;4;4;0.75
155;2;50;3;4;1.25;2
156;2;50;3;4;4.5;0.5
157;2;50;10;11;1;0.5
158;2;50;3;4;0.75;1.25
159;2;50;3;4;2.5;1.25
160;2;50;3;4;3;1
161;2;50;3;4;2;1.75
162;2;50;3;4;3;2.5
163;2;50;10;11;3.5;0.5
164;2;50;10;11;4.75;0.5
